student_id,academic_year,attendance_rate,exam_score,fee_payment_status,distance_km,grade_level,gender,dropout
S01,2024,0.7847,24.63,Unpaid,4,Grade 7,Male,0
S01,2025,0.8957,22.56,Unpaid,4,Grade 8,Male,0
S01,2026,0.9645,41.94,Partially Paid,4,Grade 9,Male,0
S02,2024,,36.41,Unpaid,4,Grade 7,Male,1
S03,2024,0.6568,38.89,Unpaid,4,Grade 7,Male,0
S03,2025,0.6115,36.56,Unpaid,4,Grade 8,Male,0
S03,2026,0.7913,52.22,Partially Paid,4,Grade 9,Male,0
S04,2024,0.7758,40.15,Unpaid,4,Grade 7,Male,0
S04,2025,1,32.33,Unpaid,4,Grade 8,Male,0
S04,2026,0.9921,47.39,Partially Paid,4,Grade 9,Male,0
S05,2024,,38.93,Unpaid,4,Grade 7,Male,0
S05,2025,0.5855,38.11,Unpaid,4,Grade 8,Male,0
S05,2026,0.7872,58.83,Partially Paid,4,Grade 9,Male,0
S06,2024,0.8103,55.56,Unpaid,4,Grade 7,Male,0
S06,2025,0.5474,47.78,Unpaid,4,Grade 8,Male,1
S07,2024,,61.33,Unpaid,4,Grade 7,Male,0
S07,2025,0.9236,58.48,Unpaid,4,Grade 8,Male,0
S07,2026,0.9274,67.11,Partially Paid,4,Grade 9,Male,0
S08,2024,,36,Unpaid,4,Grade 7,Male,0
S08,2025,0.479,26.52,Unpaid,4,Grade 8,Male,0
S08,2026,,,Unpaid,4,Grade 9,Male,0
S09,2024,0.8433,23.78,Unpaid,4,Grade 7,Male,0
S09,2025,,,Unpaid,4,Grade 8,Male,0
S09,2026,,,Unpaid,4,Grade 9,Male,0
S10,2024,0.7996,21.93,Unpaid,4,Grade 7,Male,0
S10,2025,0.6731,24.89,Unpaid,4,Grade 8,Male,1
S11,2024,0.9888,56.89,Unpaid,4,Grade 7,Female,0
S11,2025,0.9063,61.41,Unpaid,4,Grade 8,Female,0
S11,2026,0.9935,64.17,Partially Paid,4,Grade 9,Female,0
S12,2024,0.9448,39.11,Unpaid,4,Grade 7,Female,1
S13,2024,0.6439,38.7,Unpaid,4,Grade 7,Female,0
S13,2025,0.7218,48,Unpaid,4,Grade 8,Female,0
S13,2026,,,Unpaid,4,Grade 9,Female,0
S14,2024,0.8824,76.15,Unpaid,4,Grade 7,Female,0
S14,2025,0.878,79.04,Unpaid,4,Grade 8,Female,0
S14,2026,0.8853,77.61,Partially Paid,4,Grade 9,Female,0
S15,2024,0.7244,0,Unpaid,4,Grade 7,Female,1
S16,2024,0.8509,72.3,Unpaid,4,Grade 7,Female,0
S16,2025,0.9133,70.56,Unpaid,4,Grade 8,Female,0
S16,2026,0.9921,71.89,Partially Paid,4,Grade 9,Female,0
S17,2024,0.8833,54.81,Unpaid,4,Grade 7,Female,0
S17,2025,0.773,59.15,Unpaid,4,Grade 8,Female,1
S18,2024,0.9037,23.7,Unpaid,4,Grade 7,Female,0
S18,2025,0.7451,21.89,Unpaid,4,Grade 8,Female,0
S18,2026,,,Unpaid,4,Grade 9,Female,0
S19,2024,0.9109,55.19,Unpaid,4,Grade 7,Female,0
S19,2025,0.8936,62.7,Unpaid,4,Grade 8,Female,0
S19,2026,0.9477,63.89,Partially Paid,4,Grade 9,Female,0
S20,2024,0.8939,47.89,Unpaid,4,Grade 7,Female,0
S20,2025,0.8388,52.19,Unpaid,4,Grade 8,Female,0
S20,2026,0.8933,32.83,Partially Paid,4,Grade 9,Female,0
S21,2024,0.7683,37.04,Unpaid,4,Grade 7,Female,0
S21,2025,0.7768,42.44,Unpaid,4,Grade 8,Female,0
S21,2026,0.9335,43.5,Partially Paid,4,Grade 9,Female,0
S22,2024,0.9828,31.52,Unpaid,4,Grade 7,Female,0
S22,2025,0.9198,40.44,Unpaid,4,Grade 8,Female,0
S22,2026,0.9921,40.83,Partially Paid,4,Grade 9,Female,0
S23,2024,0.4478,48.96,Unpaid,4,Grade 7,Female,0
S23,2025,0.9157,57.37,Unpaid,4,Grade 8,Female,0
S23,2026,0.8942,59.44,Partially Paid,4,Grade 9,Female,0
S24,2024,0.9549,66.78,Unpaid,4,Grade 7,Female,0
S24,2025,0.8869,70.63,Unpaid,4,Grade 8,Female,0
S24,2026,0.9783,72.61,Partially Paid,4,Grade 9,Female,0
S25,2024,0.983,64.33,Unpaid,4,Grade 7,Female,0
S25,2025,0.9872,67.81,Unpaid,4,Grade 8,Female,0
S25,2026,0.9776,70.56,Partially Paid,4,Grade 9,Female,0
S26,2024,0.983,24.81,Unpaid,4,Grade 7,Female,0
S26,2025,0.7114,37,Unpaid,4,Grade 8,Female,0
S26,2026,0.6064,29.44,Partially Paid,4,Grade 9,Female,0
S27,2024,0.8091,26.56,Unpaid,4,Grade 7,Female,0
S27,2025,0.9799,34.22,Unpaid,4,Grade 8,Female,0
S27,2026,0.9177,43.56,Partially Paid,4,Grade 9,Female,0
S28,2024,0.9428,63.74,Unpaid,4,Grade 7,Female,0
S28,2025,0.9596,65.04,Unpaid,4,Grade 8,Female,0
S28,2026,0.9283,74.5,Partially Paid,4,Grade 9,Female,0
S29,2024,0.9598,48.52,Unpaid,4,Grade 7,Female,0
S29,2025,0.9745,62.04,Unpaid,4,Grade 8,Female,0
S29,2026,0.9855,67.61,Partially Paid,4,Grade 9,Female,0
S30,2024,0.7937,31.96,Unpaid,4,Grade 7,Female,0
S30,2025,0.8962,41.96,Unpaid,4,Grade 8,Female,0
S30,2026,0.9624,43.89,Partially Paid,4,Grade 9,Female,0
S31,2024,0.92,0.4833,Unpaid,2,Grade 7,Male,0
S31,2025,0.9412,0.4789,Unpaid,2,Grade 8,Male,0
S31,2026,0.9706,0.4611,Unpaid,2,Grade 9,Male,0
S32,2024,0.84,0.5911,Unpaid,2,Grade 7,Male,0
S32,2025,1,0.6011,Unpaid,2,Grade 8,Male,0
S32,2026,0.9608,0.57,Unpaid,2,Grade 9,Male,0
S33,2024,0.9524,0.5067,Unpaid,3.5,Grade 7,Male,0
S33,2025,1,0.5011,Unpaid,3.5,Grade 8,Male,0
S33,2026,0.9608,0.4956,Unpaid,3.5,Grade 9,Male,0
S34,2024,0.8108,0.6922,Unpaid,2,Grade 7,Male,0
S34,2025,1,0.7133,Unpaid,2,Grade 8,Male,0
S34,2026,0.9804,0.6944,Unpaid,2,Grade 9,Male,0
S35,2024,0.5833,0.4867,Unpaid,3.5,Grade 7,Male,0
S35,2025,0,,Unpaid,3.5,Grade 8,Male,0
S35,2026,0,,Unpaid,3.5,Grade 9,Male,0
S36,2024,0.9412,0.4878,Unpaid,2,Grade 7,Male,0
S36,2025,1,0.4811,Unpaid,2,Grade 8,Male,0
S36,2026,0.9804,0.4833,Unpaid,2,Grade 9,Male,0
S37,2024,0.9804,0.5911,Unpaid,3.5,Grade 7,Male,0
S37,2025,1,0.6056,Unpaid,3.5,Grade 8,Male,0
S37,2026,0.9804,0.6033,Unpaid,3.5,Grade 9,Male,0
S38,2024,1,0.5344,Unpaid,3.5,Grade 7,Male,0
S38,2025,1,0.5244,Unpaid,3.5,Grade 8,Male,0
S38,2026,0.9804,0.55,Unpaid,3.5,Grade 9,Male,0
S39,2024,1,0.5967,Unpaid,3.5,Grade 7,Male,0
S39,2025,1,0.7167,Unpaid,3.5,Grade 8,Male,0
S39,2026,0.9608,0.7033,Unpaid,3.5,Grade 9,Male,0
S40,2024,0.9412,0.4867,Unpaid,3.5,Grade 7,Male,0
S40,2025,1,0.5122,Unpaid,3.5,Grade 8,Male,0
S40,2026,0.9216,0.5122,Unpaid,3.5,Grade 9,Male,0
S41,2024,0.9861,0.8567,Unpaid,3.5,Grade 7,Female,0
S41,2025,1,0.8878,Unpaid,3.5,Grade 8,Female,0
S41,2026,0.9608,0.8122,Unpaid,3.5,Grade 9,Female,0
S42,2024,1,0.8222,Unpaid,3.5,Grade 7,Female,0
S42,2025,1,0.8356,Unpaid,3.5,Grade 8,Female,0
