student_id,academic_year,attendance_rate,exam_score,fee_payment_status,distance_km,grade_level,gender,dropout
S01_2024,2024,0.7847,24.63,Unpaid,4.0,Grade 7,Male,0
S01_2025,2025,0.8957,22.56,Unpaid,4.0,Grade 8,Male,0
S01_2026,2026,0.9645,41.94,Partially Paid,4.0,Grade 9,Male,0
S02_2024,2024,,36.41,Unpaid,4.0,Grade 7,Male,1
S03_2024,2024,0.6568,38.89,Unpaid,4.0,Grade 7,Male,0
S03_2025,2025,0.6115,36.56,Unpaid,4.0,Grade 8,Male,0
S03_2026,2026,0.7913,52.22,Partially Paid,4.0,Grade 9,Male,0
S04_2024,2024,0.7758,40.15,Unpaid,4.0,Grade 7,Male,0
S04_2025,2025,1.0,32.33,Unpaid,4.0,Grade 8,Male,0
S04_2026,2026,0.9921,47.39,Partially Paid,4.0,Grade 9,Male,0
S05_2024,2024,,38.93,Unpaid,4.0,Grade 7,Male,0
S05_2025,2025,0.5855,38.11,Unpaid,4.0,Grade 8,Male,0
S05_2026,2026,0.7872,58.83,Partially Paid,4.0,Grade 9,Male,0
S06_2024,2024,0.8103,55.56,Unpaid,4.0,Grade 7,Male,0
S06_2025,2025,0.5474,47.78,Unpaid,4.0,Grade 8,Male,1
S07_2024,2024,,61.33,Unpaid,4.0,Grade 7,Male,0
S07_2025,2025,0.9236,58.48,Unpaid,4.0,Grade 8,Male,0
S07_2026,2026,0.9274,67.11,Partially Paid,4.0,Grade 9,Male,0
S08_2024,2024,,36.0,Unpaid,4.0,Grade 7,Male,0
S08_2025,2025,0.479,26.52,Unpaid,4.0,Grade 8,Male,0
S08_2026,2026,,,Unpaid,4.0,Grade 9,Male,0
S09_2024,2024,0.8433,23.78,Unpaid,4.0,Grade 7,Male,0
S09_2025,2025,,,Unpaid,4.0,Grade 8,Male,0
S09_2026,2026,,,Unpaid,4.0,Grade 9,Male,0
S10_2024,2024,0.7996,21.93,Unpaid,4.0,Grade 7,Male,0
S10_2025,2025,0.6731,24.89,Unpaid,4.0,Grade 8,Male,1
S11_2024,2024,0.9888,56.89,Unpaid,4.0,Grade 7,Female,0
S11_2025,2025,0.9063,61.41,Unpaid,4.0,Grade 8,Female,0
S11_2026,2026,0.9935,64.17,Partially Paid,4.0,Grade 9,Female,0
S12_2024,2024,0.9448,39.11,Unpaid,4.0,Grade 7,Female,1
S13_2024,2024,0.6439,38.7,Unpaid,4.0,Grade 7,Female,0
S13_2025,2025,0.7218,48.0,Unpaid,4.0,Grade 8,Female,0
S13_2026,2026,,,Unpaid,4.0,Grade 9,Female,0
S14_2024,2024,0.8824,76.15,Unpaid,4.0,Grade 7,Female,0
S14_2025,2025,0.878,79.04,Unpaid,4.0,Grade 8,Female,0
S14_2026,2026,0.8853,77.61,Partially Paid,4.0,Grade 9,Female,0
S15_2024,2024,0.7244,0.0,Unpaid,4.0,Grade 7,Female,1
S16_2024,2024,0.8509,72.3,Unpaid,4.0,Grade 7,Female,0
S16_2025,2025,0.9133,70.56,Unpaid,4.0,Grade 8,Female,0
S16_2026,2026,0.9921,71.89,Partially Paid,4.0,Grade 9,Female,0
S17_2024,2024,0.8833,54.81,Unpaid,4.0,Grade 7,Female,0
S17_2025,2025,0.773,59.15,Unpaid,4.0,Grade 8,Female,1
S18_2024,2024,0.9037,23.7,Unpaid,4.0,Grade 7,Female,0
S18_2025,2025,0.7451,21.89,Unpaid,4.0,Grade 8,Female,0
S18_2026,2026,,,Unpaid,4.0,Grade 9,Female,0
S19_2024,2024,0.9109,55.19,Unpaid,4.0,Grade 7,Female,0
S19_2025,2025,0.8936,62.7,Unpaid,4.0,Grade 8,Female,0
S19_2026,2026,0.9477,63.89,Partially Paid,4.0,Grade 9,Female,0
S20_2024,2024,0.8939,47.89,Unpaid,4.0,Grade 7,Female,0
