student_id,academic_year,attendance_rate,exam_score,distance_km,fee_payment_status,grade_level,gender,dropout,data_source
SYN_0000,2024,1.0,72.93,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0001,2024,0.6927,85.62,3.6,Fully Paid,Grade 7,Female,0,synthetic
SYN_0002,2024,0.8608,67.01,4.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0003,2024,0.9788,49.96,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0004,2024,0.8732,0.0,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0005,2024,0.9148,38.98,3.6,Fully Paid,Grade 7,Female,0,synthetic
SYN_0006,2024,1.0,15.26,3.4,Fully Paid,Grade 7,Male,0,synthetic
SYN_0007,2024,0.9037,17.68,3.6,Unpaid,Grade 7,Male,1,synthetic
SYN_0008,2024,0.7282,92.78,3.6,Unpaid,Grade 7,Female,1,synthetic
SYN_0009,2024,1.0,0.0,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0010,2024,0.9381,92.78,2.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0011,2024,0.8935,38.38,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0012,2024,0.9423,85.1,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0013,2024,0.8587,84.73,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0014,2024,0.9692,55.9,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0015,2024,1.0,92.78,4.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0016,2024,0.8392,76.3,2.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0017,2024,0.8528,92.78,5.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0018,2024,0.0361,0.0,3.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0019,2024,0.02,0.0,2.6,Unpaid,Grade 7,Male,1,synthetic
SYN_0020,2024,0.3694,40.85,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0021,2024,0.8316,31.69,5.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0022,2024,0.0,45.79,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0023,2024,0.9554,92.78,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0024,2024,0.9775,59.67,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0025,2024,0.4296,0.0,3.6,Unpaid,Grade 7,Male,1,synthetic
SYN_0026,2024,0.9744,66.51,2.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0027,2024,0.9288,86.61,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0028,2024,1.0,86.63,2.2,Unpaid,Grade 7,Male,0,synthetic
