smote,smote_k,spw,threshold_arm,threshold,n_train_before_smote,n_train_after_smote,auc_pr,macro_f1,precision,recall,f2,n,positives,flagged,tn,fp,fn,tp,base_rate,auc_roc
removed,3,1.0,F2_selected,0.3,450,450,0.0871,0.5496,0.1,0.2857,0.2083,248,7,20,223,18,5,2,0.0282,0.6627
removed,3,1.0,0.5,0.5,450,450,0.0871,0.559,0.1429,0.1429,0.1429,248,7,7,235,6,6,1,0.0282,0.6627
removed,3,7.49,F2_selected,0.74,450,450,0.076,0.5388,0.0909,0.1429,0.1282,248,7,11,231,10,6,1,0.0282,0.6669
removed,3,7.49,0.5,0.5,450,450,0.076,0.5355,0.0833,0.2857,0.1923,248,7,24,219,22,5,2,0.0282,0.6669
0.2,3,1.0,F2_selected,0.31,450,476,0.1233,0.5496,0.1,0.2857,0.2083,248,7,20,223,18,5,2,0.0282,0.6212
0.2,3,1.0,0.5,0.5,450,476,0.1233,0.6041,0.2,0.2857,0.2632,248,7,10,233,8,5,2,0.0282,0.6212
0.2,3,7.49,F2_selected,0.34,450,476,0.1033,0.4618,0.0351,0.2857,0.1176,248,7,57,186,55,5,2,0.0282,0.5969
0.2,3,7.49,0.5,0.5,450,476,0.1033,0.5235,0.0714,0.2857,0.1786,248,7,28,215,26,5,2,0.0282,0.5969
0.4,3,1.0,F2_selected,0.12,450,555,0.152,0.4297,0.0444,0.5714,0.1695,248,7,90,155,86,3,4,0.0282,0.6633
0.4,3,1.0,0.5,0.5,450,555,0.152,0.5895,0.1667,0.2857,0.25,248,7,12,231,10,5,2,0.0282,0.6633
0.4,3,7.49,F2_selected,0.4,450,555,0.1043,0.4429,0.0395,0.4286,0.1442,248,7,76,168,73,4,3,0.0282,0.5993
0.4,3,7.49,0.5,0.5,450,555,0.1043,0.4636,0.0357,0.2857,0.119,248,7,56,187,54,5,2,0.0282,0.5993
0.5,3,1.0,F2_selected,0.09,450,595,0.1534,0.4003,0.0381,0.5714,0.1504,248,7,105,140,101,3,4,0.0282,0.674
0.5,3,1.0,0.5,0.5,450,595,0.1534,0.5773,0.1429,0.2857,0.2381,248,7,14,229,12,5,2,0.0282,0.674
0.5,3,7.49,F2_selected,0.22,450,595,0.0939,0.3924,0.0367,0.5714,0.146,248,7,109,136,105,3,4,0.0282,0.6372
0.5,3,7.49,0.5,0.5,450,595,0.0939,0.4636,0.0357,0.2857,0.119,248,7,56,187,54,5,2,0.0282,0.6372
